Tract_FIPS,Age_20-34_percent,Age_35-54_percent,Age_55+_percent,NDVI_2021-05-17,County,Race_white_percent,Pop_density_per_km2,Residency_before_2000_percent
06037262601,11.040828062104659,24.5830937320299,26.13571017826337,0.4694344086021505,Los Angeles,76.36572742955721,960.6803318241795,35.87674247982392
06037300100,10.766045548654244,28.66698518872432,21.05430801082975,0.41885495495495495,Los Angeles,66.7462971810798,1367.5740121297868,48.178506375227684
06037300501,14.511352418558737,31.358999670944392,19.315564330371835,0.2659170731707317,Los Angeles,55.34715366897005,2411.416737088922,33.734939759036145
06037310701,23.856671381423855,21.4992927864215,29.467232437529464,0.15665454545454546,Los Angeles,80.43375766148043,4115.737407803407,12.34676007005254
06037300200,13.83413908516177,25.73447378207512,25.52993677947192,0.3396910714285714,Los Angeles,54.07214577910003,2766.480828565638,40.22233451237999
06037310100,14.394661582459484,24.709246901811248,32.716873212583415,0.36870758620689653,Los Angeles,76.98760724499523,401.65480247045656,35.009671179883945
06037300400,13.161290322580644,32.58064516129032,15.5,0.3255,Los Angeles,55.67741935483871,3093.7953933386593,21.378340365682135
06037300701,14.431818181818183,26.041666666666664,23.37121212121212,0.5031055921052632,Los Angeles,78.63636363636364,395.5294089974101,32.806145503840945
06037300902,6.6902968542312795,30.837394771821003,29.596809924678777,0.39713362831858406,Los Angeles,75.32122286220647,513.9072594352758,35.83535108958838
06037320300,23.80729653882133,23.46429685063923,21.047708138447145,0.2405,Los Angeles,56.75085749922045,3740.5022210325396,30.122249388753055
06037301400,11.609829488465396,26.228686058174524,26.053159478435305,0.35193,Los Angeles,84.679037111334,2521.229409116887,49.07338769458859
06037301501,19.068255687974,26.760563380281692,22.3726977248104,0.3060851851851852,Los Angeles,88.51570964247021,3056.078881932051,48.183254344391784
06037301502,21.624007060900265,33.15681082671374,17.519858781994706,0.24536666666666665,Los Angeles,85.27508090614887,10057.150296551305,9.37251787132645
06037301601,25.63196040304048,21.35407459784338,28.97295386247128,0.19793846153846154,Los Angeles,79.21159625243061,2505.8637743880968,14.2433234421365
06037301701,20.267888614733874,28.410292562566088,20.408882622488544,0.245553125,Los Angeles,67.35988720479381,3103.663679695782,19.577205882352942
06037301602,22.361359570661897,30.54561717352415,17.374776386404292,0.2803242424242424,Los Angeles,69.74508050089445,4537.86714155974,19.761499148211243
06037301702,24.378600823045268,27.193415637860085,18.271604938271604,0.196968,Los Angeles,71.98353909465021,7327.708387361361,27.78042959427208
06037302002,24.27359218308048,26.407816919516584,24.505014142453078,0.16232105263157895,Los Angeles,70.19799434301876,7734.8088275072005,9.438909281594128
06037311000,10.722411831626848,35.63708759954494,22.81001137656428,0.28354250000000003,Los Angeles,65.386803185438,2659.9728555671054,35.490463215258856
06037311100,18.682891911238368,30.183727034120732,17.322834645669293,0.32298541666666664,Los Angeles,64.30446194225722,2458.300974404576,27.595628415300546
06037311200,33.217115689381934,23.898573692551505,18.129952456418383,0.33254814814814815,Los Angeles,77.11568938193344,3190.142611002807,33.69397217928903
06037311300,25.56390977443609,26.445423904589063,21.856365050557425,0.33219117647058827,Los Angeles,65.15426497277676,3156.6498753953997,39.59646910466583
06037310703,27.695373035200355,25.32654416648218,17.024573832189507,0.17715,Los Angeles,80.80584458711535,4540.898750121892,7.212475633528264
06037310900,17.203776041666664,31.13606770833333,24.918619791666664,0.28912295081967215,Los Angeles,58.528645833333336,2827.435326558656,33.61684892669097
06037311400,21.380846325167038,27.171492204899778,24.94432071269488,0.33316,Los Angeles,76.48106904231626,2390.515456891925,26.926926926926924
06037237900,22.76929692539239,25.564394753816384,15.803053106858739,0.20934666666666668,Los Angeles,15.953558374543109,4746.993706737649,38.25408090844571
06037534700,24.6300933302982,23.992715684042793,21.010698839062147,0.2125190476190476,Los Angeles,62.440245845663554,7890.860755855727,47.75828460038986
06037228600,23.66593929775838,29.974211465978975,5.375917476691132,0.17788421052631578,Los Angeles,19.57944852211863,9566.136521918997,21.630901287553648
06037222600,47.78290173820504,14.473217452997517,14.402270308620079,0.2065047619047619,Los Angeles,32.05037247250798,8648.061625491995,23.269435569755057
06037407101,27.16670018097728,26.684094108184194,13.251558415443395,0.2504138888888889,Los Angeles,38.66881158254575,4380.5136290965465,33.13304721030043
06037482502,15.416298911444542,30.3912915563401,22.41835834068844,0.2292809523809524,Los Angeles,7.619888202412474,5305.433113145113,15.15768056968464
06037208904,25.513126491646776,25.632458233890215,16.20525059665871,0.1234,Los Angeles,37.875894988066825,37375.3411949405,14.510609171800137
06037302202,23.129251700680275,25.15216612960974,20.49767275331185,0.20227619047619047,Los Angeles,78.60723236663087,10919.860422836702,14.157973174366617
06037139703,7.535493265380415,28.03057881325082,20.531488896978523,0.4491,Los Angeles,84.81980342191481,580.8971742217839,38.15384615384615
06037430502,9.689744765398135,31.147791532935962,28.243924805135258,0.40193636363636365,Los Angeles,77.54852514137247,2223.3148697051856,23.169993950393224
06037300702,16.304700162074557,16.304700162074553,31.685575364667745,0.4045901098901099,Los Angeles,86.49918962722852,539.645347176942,58.814647036617586
06037123602,17.234352256186316,30.858806404657933,19.243085880640464,0.2922551724137931,Los Angeles,67.16157205240174,3702.498081383818,26.439393939393938
06037122410,26.361279170267935,22.875252088735234,15.874387784500144,0.1562,Los Angeles,47.24863151829444,4909.532215357458,14.824335904027421
06037131300,24.759422614274257,23.115477145148354,16.519647153167604,0.31216875,Los Angeles,37.650360866078586,4461.494564901419,36.66666666666667
