Geography,Geographic Area Name,Total Population,Population (Male),Population (Female),Population (Under 5 years old),Population (5-9 years old),Population (10-14 years old),Population (15-19 years old),Population (20-24 years old),Population (25-34 years old),Population (35-44 years old),Population (45-54 years old),Population (55-59 years old),Population (60-64 years old),Population (65-74 years old),Population (75-84 years old),Population (85+ years old),Race (One Race),Race (Two or More Races),Race (one: white),Race (one: black or African American),Race (one: native American),Race (one: black or Asian),Race (one: Pacific Islander),Race (one: Other),Race (two+: white and black or African American),Race (two+: white and Native American),Race (two+: white and Asian),Race (two+: black and Native American,Race (Hispanic or Latino),Race (Not Hispanic or Latino)
1400000US06037106408,"Census Tract 1064.08, Los Angeles County, California",3822,1742,2080,500,333,312,337,232,812,429,432,141,135,116,43,0,3305,517,2457,75,0,112,0,661,116,0,0,0,3451,371
1400000US06037106510,"Census Tract 1065.10, Los Angeles County, California",6133,3182,2951,330,364,404,769,184,818,1000,677,481,494,324,201,87,5902,231,3602,214,46,1252,0,788,19,0,162,6,3742,2391
1400000US06037106520,"Census Tract 1065.20, Los Angeles County, California",5710,2786,2924,232,437,281,518,436,1089,708,651,360,232,381,247,138,5427,283,4148,2,0,119,0,1158,0,0,11,0,5193,517
1400000US06037106603,"Census Tract 1066.03, Los Angeles County, California",3658,1851,1807,130,247,237,191,223,477,347,412,420,204,522,167,81,3126,532,2218,86,0,654,37,131,0,19,25,0,1032,2626
1400000US06037106604,"Census Tract 1066.04, Los Angeles County, California",4572,2510,2062,477,137,446,301,205,510,465,758,217,112,486,337,121,4472,100,3677,113,31,93,0,558,0,18,15,0,4087,485
1400000US06037106641,"Census Tract 1066.41, Los Angeles County, California",2271,1177,1094,185,89,130,140,87,191,331,276,142,251,160,219,70,2045,226,1705,14,0,289,0,37,36,0,86,0,137,2134
1400000US06037106642,"Census Tract 1066.42, Los Angeles County, California",3294,1471,1823,136,244,176,113,180,455,295,502,340,253,316,252,32,2982,312,2266,144,7,293,0,272,15,52,42,0,788,2506
1400000US06037106643,"Census Tract 1066.43, Los Angeles County, California",4511,1910,2601,259,219,88,314,300,434,401,729,373,357,814,138,85,4401,110,2656,32,39,973,0,701,6,0,58,0,593,3918
1400000US06037106645,"Census Tract 1066.45, Los Angeles County, California",4158,2017,2141,274,221,249,269,192,296,528,432,502,377,464,242,112,4090,68,3243,47,90,639,0,71,17,0,50,0,918,3240
1400000US06037106646,"Census Tract 1066.46, Los Angeles County, California",3028,1455,1573,179,86,171,95,130,371,343,326,276,349,343,197,162,2845,183,1650,161,4,640,41,349,63,0,44,0,943,2085
1400000US06037106648,"Census Tract 1066.48, Los Angeles County, California",4264,2171,2093,332,250,267,535,419,489,572,645,138,171,274,155,17,4065,199,3220,12,0,0,0,833,24,57,0,0,4115,149
1400000US06037106649,"Census Tract 1066.49, Los Angeles County, California",2916,1419,1497,154,250,196,147,282,333,277,442,184,204,230,79,138,2766,150,1215,49,14,479,0,1009,0,0,31,0,2109,807
1400000US06037107010,"Census Tract 1070.10, Los Angeles County, California",3243,1577,1666,155,179,162,344,246,648,393,405,294,111,147,82,77,3101,142,2056,11,10,37,0,987,0,27,0,0,3110,133
1400000US06037107020,"Census Tract 1070.20, Los Angeles County, California",5759,2682,3077,480,501,426,637,601,581,826,627,410,266,260,102,42,4869,890,3385,9,124,322,0,1029,7,8,17,0,5186,573
1400000US06037108101,"Census Tract 1081.01, Los Angeles County, California",2303,1190,1113,88,124,79,59,67,354,204,286,215,220,291,202,114,2188,115,1493,34,58,477,0,126,13,0,26,0,438,1865
1400000US06037108102,"Census Tract 1081.02, Los Angeles County, California",3327,1579,1748,125,160,256,148,110,261,358,555,317,153,452,160,272,3269,58,1374,108,0,1675,0,112,0,0,48,0,218,3109
1400000US06037108103,"Census Tract 1081.03, Los Angeles County, California",3082,1556,1526,184,92,88,204,157,333,360,441,195,298,479,203,48,2842,240,1860,0,14,751,16,201,0,0,91,0,442,2640
1400000US06037108104,"Census Tract 1081.04, Los Angeles County, California",1818,862,956,150,157,151,97,101,75,144,317,115,150,201,120,40,1739,79,1202,35,0,452,0,50,0,0,5,0,151,1667
1400000US06037108202,"Census Tract 1082.02, Los Angeles County, California",8148,3961,4187,483,861,587,456,232,685,1318,1484,312,538,764,372,56,7892,256,3022,1722,60,3015,0,73,0,0,237,0,689,7459
1400000US06037108203,"Census Tract 1082.03, Los Angeles County, California",3273,1723,1550,64,123,289,231,153,243,302,533,294,266,492,232,51,3072,201,1109,440,58,1434,0,31,0,0,106,0,216,3057
1400000US06037108204,"Census Tract 1082.04, Los Angeles County, California",1893,929,964,49,283,124,89,10,170,236,346,150,163,168,98,7,1869,24,891,67,0,911,0,0,0,0,16,8,9,1884
1400000US06037109100,"Census Tract 1091, Los Angeles County, California",2647,1322,1325,163,114,94,85,118,303,347,282,133,155,327,247,279,2630,17,1590,59,7,363,0,611,6,0,0,0,1421,1226
1400000US06037109200,"Census Tract 1092, Los Angeles County, California",2746,1673,1073,95,152,290,154,169,445,224,419,186,255,222,60,75,2656,90,1384,134,0,834,0,304,0,0,42,0,1153,1593
1400000US06037109300,"Census Tract 1093, Los Angeles County, California",2908,1458,1450,147,119,146,121,191,398,374,448,167,212,308,211,66,2671,237,1646,19,56,481,0,469,16,6,18,0,1321,1587
1400000US06037109400,"Census Tract 1094, Los Angeles County, California",4044,1919,2125,89,281,90,417,317,643,488,646,261,206,265,308,33,3679,365,1471,19,44,159,149,1837,0,0,3,0,3254,790
1400000US06037109500,"Census Tract 1095, Los Angeles County, California",4720,2295,2425,289,347,612,298,412,683,520,567,187,223,255,221,106,4720,0,2409,4,45,170,0,2092,0,0,0,0,4434,286
1400000US06037109601,"Census Tract 1096.01, Los Angeles County, California",4877,2450,2427,271,284,221,292,354,747,599,739,275,290,371,290,144,4598,279,2331,38,4,361,0,1864,10,22,55,0,3250,1627
1400000US06037109603,"Census Tract 1096.03, Los Angeles County, California",4233,1924,2309,395,157,156,303,395,740,410,451,296,328,241,348,13,4115,118,1148,94,60,616,0,2197,0,0,91,0,3015,1218
1400000US06037109604,"Census Tract 1096.04, Los Angeles County, California",3013,1428,1585,143,144,169,201,173,629,359,400,124,200,216,135,120,2820,193,1370,68,60,276,1,1045,55,10,36,0,2064,949
1400000US06037109700,"Census Tract 1097, Los Angeles County, California",4787,2474,2313,345,184,243,286,384,870,414,779,173,167,618,210,114,4408,379,2961,356,0,617,0,474,0,0,147,0,1824,2963
1400000US06037109800,"Census Tract 1098, Los Angeles County, California",5221,2491,2730,352,388,290,221,304,515,877,609,215,271,635,275,269,4744,477,2844,143,24,776,0,957,80,8,83,0,2655,2566
1400000US06037111100,"Census Tract 1111, Los Angeles County, California",3156,1594,1562,170,130,209,166,283,347,522,506,162,213,263,91,94,2927,229,1491,85,49,672,0,630,54,6,49,0,1323,1833
1400000US06037111201,"Census Tract 1112.01, Los Angeles County, California",3459,1830,1629,242,134,150,260,247,326,569,541,225,172,231,247,115,3024,435,1938,10,21,521,0,534,0,0,12,1,1450,2009
1400000US06037111202,"Census Tract 1112.02, Los Angeles County, California",5593,3102,2491,243,290,318,401,284,603,802,1178,394,287,328,297,168,4856,737,3121,209,31,1180,0,315,29,0,78,0,1829,3764
1400000US06037111204,"Census Tract 1112.04, Los Angeles County, California",5909,3016,2893,234,222,427,356,283,628,448,936,508,561,769,405,132,5210,699,3213,262,68,1344,0,323,45,19,174,0,1128,4781
1400000US06037111205,"Census Tract 1112.05, Los Angeles County, California",3905,1688,2217,152,323,315,210,225,776,485,485,201,140,350,158,85,3744,161,1841,189,0,1291,14,409,52,0,45,0,779,3126
1400000US06037111206,"Census Tract 1112.06, Los Angeles County, California",4363,2322,2041,239,156,236,296,154,464,525,677,327,276,586,263,164,3967,396,2797,32,0,753,0,385,37,14,183,0,1142,3221
1400000US06037111302,"Census Tract 1113.02, Los Angeles County, California",5253,2477,2776,182,169,184,383,461,842,860,585,396,374,400,245,172,4925,328,2682,442,8,1124,5,664,2,0,30,13,1326,3927
1400000US06037111303,"Census Tract 1113.03, Los Angeles County, California",4835,2664,2171,356,347,299,559,207,349,863,594,387,377,270,111,116,4468,367,2795,66,6,1078,0,523,59,11,21,0,1319,3516
1400000US06037111304,"Census Tract 1113.04, Los Angeles County, California",2752,1424,1328,87,53,180,179,235,720,478,416,57,10,242,95,0,2100,652,867,277,0,601,0,355,0,16,35,0,1230,1522
1400000US06037111401,"Census Tract 1114.01, Los Angeles County, California",2353,1093,1260,215,100,42,171,101,312,350,390,176,30,286,148,32,2295,58,1541,0,95,510,0,149,0,30,0,0,697,1656
1400000US06037111402,"Census Tract 1114.02, Los Angeles County, California",6535,2832,3703,152,407,497,181,553,1281,600,742,539,497,333,355,398,6340,195,3833,391,58,722,0,1336,0,0,29,0,2997,3538
1400000US06037113101,"Census Tract 1131.01, Los Angeles County, California",3590,1605,1985,128,109,167,173,264,319,259,491,403,306,245,373,353,3503,87,2677,147,0,498,0,181,0,0,50,0,653,2937
1400000US06037113102,"Census Tract 1131.02, Los Angeles County, California",2783,1489,1294,81,95,162,143,198,258,355,308,297,274,262,223,127,2696,87,2168,48,0,393,0,87,0,0,37,0,507,2276
1400000US06037113211,"Census Tract 1132.11, Los Angeles County, California",4264,1874,2390,195,188,29,394,142,358,507,907,306,257,548,303,130,4151,113,2864,361,0,650,0,276,111,0,0,1,611,3653
1400000US06037113212,"Census Tract 1132.12, Los Angeles County, California",2998,1528,1470,90,201,60,201,277,334,417,455,187,136,253,280,107,2868,130,1376,132,47,904,0,409,14,5,38,0,852,2146
1400000US06037113213,"Census Tract 1132.13, Los Angeles County, California",5652,2700,2952,216,393,375,414,260,729,935,630,412,495,438,247,108,4917,735,2550,290,62,1152,0,863,78,0,180,57,1864,3788
1400000US06037113231,"Census Tract 1132.31, Los Angeles County, California",2275,1152,1123,115,89,161,75,61,205,143,479,245,189,251,246,16,1895,380,1517,62,0,264,0,52,62,44,142,7,183,2092
1400000US06037113232,"Census Tract 1132.32, Los Angeles County, California",4394,2211,2183,211,295,77,260,158,335,678,618,330,511,523,290,108,3995,399,2995,209,0,637,0,154,10,0,79,0,717,3677
1400000US06037113234,"Census Tract 1132.34, Los Angeles County, California",5400,2731,2669,432,408,456,317,247,676,724,593,461,280,444,295,67,4964,436,2132,98,6,1007,0,1721,2,0,62,0,3034,2366
